anonymous_learner_id,skill,estimated_level,difficulty,historical_accuracy,recent_accuracy,attempt_count,time_since_last_attempt_hours,review_success,mistake_frequency,hint_usage,translation_usage,response_time_ms,correct,quality_label,source
learner_adce835bd5aea308,vocabulary.airport,A2,0.6507650977815377,0.5500033016199054,0.8251879921805689,38,1125.7756141180657,0.42495636426913275,0.0,0.8657296745783105,0.44054743195386536,16669.62661189748,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,vocabulary.restaurant,A2,0.5476649969062087,0.43948014365574173,0.4519708136264454,18,17.92676939636795,0.2842564500117229,0.17634513565545606,0.668846171709865,0.2735725772665674,13931.548962518194,1,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,grammar.articles,A2,0.11660547094877116,0.5827768763620456,0.6039811770142537,23,3188.6704600687576,0.5024830673876807,0.0,0.7614840216319972,0.38035097565824205,7406.167535894708,1,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,grammar.question_forms,A2,0.6919953704032072,0.549080330184671,0.461450609464676,50,936.2945165621139,0.32950164163031825,0.33791951534672054,0.7101590262516874,0.39066515831670734,17557.60852123196,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,listening.directions,A2,0.9155467669582464,0.4916909188826878,0.5725820810741475,52,46.58116575917526,0.8205934070907099,0.03759971173008577,0.8988039968801266,0.369191789623766,15093.11447413274,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,grammar.question_forms,A2,0.5622172095267417,0.6276432261557023,0.4452333083846947,17,62.86815633149798,0.7624082887906113,0.1901920941210929,0.7681731490949425,0.4347651896096788,15710.47231348629,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,listening.directions,A2,0.2805220082798889,0.5192040981757876,0.5389446258506895,8,11.458255986399783,0.767837418414232,0.0,0.7308939739431998,0.46182532538559523,8802.531119425652,1,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,grammar.prepositions,A2,0.27585772624622723,0.29274014472261,0.34298641662769663,12,18.53923272147626,0.0,0.33412488201328305,0.706763423798629,0.294117675178321,12363.028293052368,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,grammar.question_forms,A2,0.4679307276686216,0.06937290025729148,0.16321662528636702,5,1581.5602859116948,0.0,0.4935807351498802,0.7677027627643708,0.5331575813486988,13178.88386760788,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,listening.directions,A2,0.1009431386539705,0.4796617657365224,0.3612978403515558,20,39.42838130984615,0.5340975355119476,0.28061437017192203,0.8024765116811325,0.4114852430772589,7982.013051222322,1,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,vocabulary.workplace,A2,0.5457105113372404,0.4040604468120442,0.36577465327864445,54,78.4255663235064,0.5030123183433437,0.3096008981818971,0.7064886791557243,0.3478331505151746,16030.24650754598,1,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,grammar.articles,A2,0.7054950476218447,0.23677470240418716,0.11906072748785548,15,82.35461615188433,0.10720068367339416,0.47437283868543834,0.7159806048530497,0.28154679972882374,14574.304631309778,1,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,vocabulary.healthcare,A2,0.7766446875633904,0.4887682271968995,0.6568419529468307,51,4.701907007268254,0.5190466539435229,0.0,0.6891593023087262,0.23268808116143214,13258.794756151983,1,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,grammar.prepositions,A2,0.13340429364576367,0.5241862390781588,0.471911105176206,22,176.92195857011615,0.6860813156992811,0.003201280370850379,0.6276276106921082,0.24649430980112141,7304.263949003774,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_adce835bd5aea308,vocabulary.workplace,A2,0.3182091797043863,0.4293224701881586,0.28270938856451944,42,98.7215148524031,0.1687361533805194,0.318427107294267,0.6959134081115548,0.246600742028531,8914.454198536107,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_fa686ee1d6ce2a23,grammar.articles,A2,0.8661363650378857,0.2886420818156139,0.21595540419168022,9,26.722184342523885,0.37515109511597966,0.36658239756704963,0.942877648872963,0.39671107742352507,22209.489236868794,0,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
learner_fa686ee1d6ce2a23,vocabulary.airport,A2,0.7796717576002415,0.5683857005573361,0.5480846842130112,44,438.15697185514534,0.4280119801432726,0.12386189906089674,0.9157114595021307,0.3107985944477884,14195.555359638804,1,SYNTHETIC,SYNTHETIC_DEVELOPMENT_V1
